method,dataset,dtype,filt,ncells_fact,repl,FPR
edgeRLRTcensus,GSE45719null,full-length,,6,4,0.0144354102352276
edgeRLRTcensus,GSE45719null,full-length,,6,5,0.0119975744975745
monoclecensus,GSE45719null,full-length,,24,1,0.0315000913575735
monoclecensus,GSE45719null,full-length,,12,1,0.0174693106704438
monoclecensus,GSE45719null,full-length,,12,2,0.0313660425061231
monoclecensus,GSE45719null,full-length,,12,3,0.031858686223484
monoclecensus,GSE45719null,full-length,,12,4,0.0214342313787639
monoclecensus,GSE45719null,full-length,,12,5,0.031263518030595
monoclecensus,GSE45719null,full-length,,6,1,0.0213461869512825
monoclecensus,GSE45719null,full-length,,6,2,0.0425006498570315
monoclecensus,GSE45719null,full-length,,6,3,0.0436368430304096
monoclecensus,GSE45719null,full-length,,6,4,0.0178268620374799
monoclecensus,GSE45719null,full-length,,6,5,0.0137300762300762
monocle,GSE45719null,full-length,,24,1,0.0396857299470126
monocle,GSE45719null,full-length,,12,1,0.0360796348756689
monocle,GSE45719null,full-length,,12,2,0.0373706249506202
monocle,GSE45719null,full-length,,12,3,0.035052440659254
monocle,GSE45719null,full-length,,12,4,0.0356576862123613
monocle,GSE45719null,full-length,,12,5,0.0370836446576743
monocle,GSE45719null,full-length,,6,1,0.0454467206059563
monocle,GSE45719null,full-length,,6,2,0.0473529156918811
monocle,GSE45719null,full-length,,6,3,0.0475478994550888
monocle,GSE45719null,full-length,,6,4,0.0385668942127919
monocle,GSE45719null,full-length,,6,5,0.043529106029106
D3E,GSE45719null,full-length,,24,1,0.0298174367980097
D3E,GSE45719null,full-length,,12,1,0.0373060284954558
D3E,GSE45719null,full-length,,12,2,0.0258500695963412
D3E,GSE45719null,full-length,,12,3,0.0252674437170685
D3E,GSE45719null,full-length,,12,4,0.0437138872285316
D3E,GSE45719null,full-length,,12,5,0.0245588936576061
D3E,GSE45719null,full-length,,6,1,0.0511939299263557
D3E,GSE45719null,full-length,,6,2,0.0458831491089556
D3E,GSE45719null,full-length,,6,3,0.0561478973138699
D3E,GSE45719null,full-length,,6,4,0.0401456531634046
D3E,GSE45719null,full-length,,6,5,0.0484589508137103
limmatrend,GSE45719null,full-length,,24,1,0.0372373469760643
limmatrend,GSE45719null,full-length,,12,1,0.0297843877872206
limmatrend,GSE45719null,full-length,,12,2,0.0284822627794896
limmatrend,GSE45719null,full-length,,12,3,0.0251557448150777
limmatrend,GSE45719null,full-length,,12,4,0.0290015847860539
limmatrend,GSE45719null,full-length,,12,5,0.0281961539974045
limmatrend,GSE45719null,full-length,,6,1,0.0312446204165949
limmatrend,GSE45719null,full-length,,6,2,0.0272939953210294
limmatrend,GSE45719null,full-length,,6,3,0.0288715064158903
limmatrend,GSE45719null,full-length,,6,4,0.0214791947475977
limmatrend,GSE45719null,full-length,,6,5,0.0321812196812197
ROTSvoom,GSE45719null,full-length,,24,1,0.0502832084779828
ROTSvoom,GSE45719null,full-length,,12,1,0.0413519043122443
ROTSvoom,GSE45719null,full-length,,12,2,0.0470095599273129
ROTSvoom,GSE45719null,full-length,,12,3,0.0383644822963489
ROTSvoom,GSE45719null,full-length,,12,4,0.0407290015847861
ROTSvoom,GSE45719null,full-length,,12,5,0.0459318101380314
ROTSvoom,GSE45719null,full-length,,6,1,0.0525047340333965
ROTSvoom,GSE45719null,full-length,,6,2,0.0549779048609306
ROTSvoom,GSE45719null,full-length,,6,3,0.0506679557039902
ROTSvoom,GSE45719null,full-length,,6,4,0.0365233271011783
ROTSvoom,GSE45719null,full-length,,6,5,0.0487266112266112
ROTScpm,GSE45719null,full-length,,24,1,0.0532066508313539
ROTScpm,GSE45719null,full-length,,12,1,0.0454044696254328
ROTScpm,GSE45719null,full-length,,12,2,0.044955360669985
ROTScpm,GSE45719null,full-length,,12,3,0.0419130983360934
ROTScpm,GSE45719null,full-length,,12,4,0.0481774960380349
ROTScpm,GSE45719null,full-length,,12,5,0.0431397223642298
ROTScpm,GSE45719null,full-length,,6,1,0.0542692373902565
ROTScpm,GSE45719null,full-length,,6,2,0.0498223724114028
ROTScpm,GSE45719null,full-length,,6,3,0.0538759008613113
ROTScpm,GSE45719null,full-length,,6,4,0.0435671116135484
ROTScpm,GSE45719null,full-length,,6,5,0.0469941094941095
ROTStpm,GSE45719null,full-length,,24,1,0.0518180157135026
ROTStpm,GSE45719null,full-length,,12,1,0.0475684608120869
ROTStpm,GSE45719null,full-length,,12,2,0.0487082246977957
ROTStpm,GSE45719null,full-length,,12,3,0.0430565412822333
ROTStpm,GSE45719null,full-length,,12,4,0.047068145800317
ROTStpm,GSE45719null,full-length,,12,5,0.0443194777616108
ROTStpm,GSE45719null,full-length,,6,1,0.0520313306937511
ROTStpm,GSE45719null,full-length,,6,2,0.0486093059526904
ROTStpm,GSE45719null,full-length,,6,3,0.0525136227808051
ROTStpm,GSE45719null,full-length,,6,4,0.045610678725162
ROTStpm,GSE45719null,full-length,,6,5,0.0482068607068607
metagenomeSeq,GSE45719null,full-length,,24,1,0.0309620166756058
metagenomeSeq,GSE45719null,full-length,,12,1,0.0224400022272955
metagenomeSeq,GSE45719null,full-length,,12,2,0.0248829204987869
metagenomeSeq,GSE45719null,full-length,,12,3,0.0237605030326637
metagenomeSeq,GSE45719null,full-length,,12,4,0.0213030457139628
metagenomeSeq,GSE45719null,full-length,,12,5,0.026516628600078
metagenomeSeq,GSE45719null,full-length,,6,1,0.019090784232935
metagenomeSeq,GSE45719null,full-length,,6,2,0.0209340887107918
metagenomeSeq,GSE45719null,full-length,,6,3,0.0228875674180611
metagenomeSeq,GSE45719null,full-length,,6,4,0.0177250616379023
metagenomeSeq,GSE45719null,full-length,,6,5,0.0184073629451781
ttest,GSE45719null,full-length,,24,1,0.0342042755344418
ttest,GSE45719null,full-length,,12,1,0.0255350960025181
ttest,GSE45719null,full-length,,12,2,0.02382081061863
ttest,GSE45719null,full-length,,12,3,0.0219619903793076
ttest,GSE45719null,full-length,,12,4,0.0245641838351822
ttest,GSE45719null,full-length,,12,5,0.0230052302489284
ttest,GSE45719null,full-length,,6,1,0.0246169736615596
ttest,GSE45719null,full-length,,6,2,0.0191491205268174
ttest,GSE45719null,full-length,,6,3,0.0205220601160134
ttest,GSE45719null,full-length,,6,4,0.0164789773468412
ttest,GSE45719null,full-length,,6,5,0.0252079002079002
monoclecount,GSE45719null,full-length,,24,1,0.172081125525306
monoclecount,GSE45719null,full-length,,12,1,0.169617563739377
monoclecount,GSE45719null,full-length,,12,2,0.186181559611282
monoclecount,GSE45719null,full-length,,12,4,0.172860538827258
monoclecount,GSE45719null,full-length,,6,5,0.196465696465696
edgeRQLFDetRate,GSE45719null,full-length,,24,1,0.192033619587064
edgeRQLFDetRate,GSE45719null,full-length,,12,1,0.150574441296821
edgeRQLFDetRate,GSE45719null,full-length,,12,2,0.159555976929762
edgeRQLFDetRate,GSE45719null,full-length,,12,3,0.161422600741266
edgeRQLFDetRate,GSE45719null,full-length,,12,4,0.160618066561014
edgeRQLFDetRate,GSE45719null,full-length,,12,5,0.164929804553856
edgeRQLFDetRate,GSE45719null,full-length,,6,1,0.116026854880358
edgeRQLFDetRate,GSE45719null,full-length,,6,2,0.103760506022008
edgeRQLFDetRate,GSE45719null,full-length,,6,3,0.124450694322377
edgeRQLFDetRate,GSE45719null,full-length,,6,4,0.108656898126005
edgeRQLFDetRate,GSE45719null,full-length,,6,5,0.128724878724879
DESeq2betapFALSE,GSE45719null,full-length,,24,1,0.0579796107506951
DESeq2betapFALSE,GSE45719null,full-length,,12,1,0.0502235707441712
DESeq2betapFALSE,GSE45719null,full-length,,12,2,0.0529421208958818
DESeq2betapFALSE,GSE45719null,full-length,,12,3,0.051922615716684
DESeq2betapFALSE,GSE45719null,full-length,,12,4,0.0572473083721678
DESeq2betapFALSE,GSE45719null,full-length,,12,5,0.0500339416204129
DESeq2betapFALSE,GSE45719null,full-length,,6,1,0.0677707006369427
DESeq2betapFALSE,GSE45719null,full-length,,6,2,0.0691913909836517
DESeq2betapFALSE,GSE45719null,full-length,,6,3,0.0708235818566812
DESeq2betapFALSE,GSE45719null,full-length,,6,4,0.0549321636233806
DESeq2betapFALSE,GSE45719null,full-length,,6,5,0.0622670025188917
scDD,GSE45719null,full-length,,24,1,0.029308076821889
scDD,GSE45719null,full-length,,12,1,0.0230224684518313
scDD,GSE45719null,full-length,,12,2,0.0229045746739063
scDD,GSE45719null,full-length,,12,3,0.022267836039062
scDD,GSE45719null,full-length,,12,4,0.026129456732878
scDD,GSE45719null,full-length,,12,5,0.0215200049471276
scDD,GSE45719null,full-length,,6,1,0.0215538040855718
scDD,GSE45719null,full-length,,6,2,0.0197194719471947
scDD,GSE45719null,full-length,,6,3,0.0259834871296746
scDD,GSE45719null,full-length,,6,4,0.0164404808065142
scDD,GSE45719null,full-length,,6,5,0.0207109737248841
DEsingle,GSE45719null,full-length,,24,1,0.142613531047266
DEsingle,GSE45719null,full-length,,12,1,0.103042159054615
DEsingle,GSE45719null,full-length,,12,2,0.140242433972867
DEsingle,GSE45719null,full-length,,12,3,0.131625229834519
DEsingle,GSE45719null,full-length,,12,4,0.117587980073919
DEsingle,GSE45719null,full-length,,12,5,0.142035698598411
DEsingle,GSE45719null,full-length,,6,1,0.104101913058705
DEsingle,GSE45719null,full-length,,6,2,0.14748990696858
DEsingle,GSE45719null,full-length,,6,3,0.122957406911331
DEsingle,GSE45719null,full-length,,6,4,0.105555310806643
DEsingle,GSE45719null,full-length,,6,5,0.106296963571648
zinbwaveedgeR,GSE45719null,full-length,,24,1,0.0855977757182576
zinbwaveedgeR,GSE45719null,full-length,,12,1,0.0504631108272118
zinbwaveedgeR,GSE45719null,full-length,,12,2,0.0673115517379786
zinbwaveedgeR,GSE45719null,full-length,,12,3,0.068750499640259
zinbwaveedgeR,GSE45719null,full-length,,12,4,0.0553993250843645
zinbwaveedgeR,GSE45719null,full-length,,12,5,0.0658068122828735
zinbwaveedgeR,GSE45719null,full-length,,6,1,0.0403186971938887
zinbwaveedgeR,GSE45719null,full-length,,6,2,0.0508601018079691
zinbwaveedgeR,GSE45719null,full-length,,6,3,0.0550942048397178
zinbwaveedgeR,GSE45719null,full-length,,6,4,0.0382395700251112
zinbwaveedgeR,GSE45719null,full-length,,6,5,0.0385815353517599
zinbwaveDESeq2,GSE45719null,full-length,,24,1,0.0582242323256368
zinbwaveDESeq2,GSE45719null,full-length,,12,1,0.0416060955436363
zinbwaveDESeq2,GSE45719null,full-length,,12,2,0.0440321387038799
zinbwaveDESeq2,GSE45719null,full-length,,12,3,0.0431780763715545
zinbwaveDESeq2,GSE45719null,full-length,,12,4,0.0458639179551252
zinbwaveDESeq2,GSE45719null,full-length,,12,5,0.0404019148824241
zinbwaveDESeq2,GSE45719null,full-length,,6,1,0.0539058253866298
zinbwaveDESeq2,GSE45719null,full-length,,6,2,0.0603730451498935
zinbwaveDESeq2,GSE45719null,full-length,,6,3,0.0598022288494742
zinbwaveDESeq2,GSE45719null,full-length,,6,4,0.05351137487636
zinbwaveDESeq2,GSE45719null,full-length,,6,5,0.0539150874100191
DESeq2LRT,GSE45719null,full-length,,24,1,0.0544949026876738
DESeq2LRT,GSE45719null,full-length,,12,1,0.0427978281699138
DESeq2LRT,GSE45719null,full-length,,12,2,0.0451553343501646
DESeq2LRT,GSE45719null,full-length,,12,3,0.0433288032616516
DESeq2LRT,GSE45719null,full-length,,12,4,0.0481680861320906
DESeq2LRT,GSE45719null,full-length,,12,5,0.0412490516311943
DESeq2LRT,GSE45719null,full-length,,6,1,0.0550828025477707
DESeq2LRT,GSE45719null,full-length,,6,2,0.0553751307315462
DESeq2LRT,GSE45719null,full-length,,6,3,0.0577287417808982
DESeq2LRT,GSE45719null,full-length,,6,4,0.0444251759665409
DESeq2LRT,GSE45719null,full-length,,6,5,0.0518891687657431
logregLRT,GSE45719null,full-length,,24,1,0.0666910286862781
logregLRT,GSE45719null,full-length,,12,1,0.0615360402895814
logregLRT,GSE45719null,full-length,,12,2,0.0610334202417635
logregLRT,GSE45719null,full-length,,12,3,0.0553978392871225
logregLRT,GSE45719null,full-length,,12,4,0.0610935023771791
logregLRT,GSE45719null,full-length,,12,5,0.0574934130323646
logregLRT,GSE45719null,full-length,,6,1,0.0767343776897917
logregLRT,GSE45719null,full-length,,6,2,0.0710077116367732
logregLRT,GSE45719null,full-length,,6,3,0.072815960625769
logregLRT,GSE45719null,full-length,,6,4,0.0570894386712466
logregLRT,GSE45719null,full-length,,6,5,0.0699064449064449
edgeRLRT,GSE45719null,full-length,TPM_1_25p,24,1,0.0692899914456801
edgeRLRT,GSE45719null,full-length,TPM_1_25p,12,1,0.0350209364293871
edgeRLRT,GSE45719null,full-length,TPM_1_25p,12,2,0.0602177473745062
edgeRLRT,GSE45719null,full-length,TPM_1_25p,12,3,0.0576346581568514
edgeRLRT,GSE45719null,full-length,TPM_1_25p,12,4,0.038570729319628
edgeRLRT,GSE45719null,full-length,TPM_1_25p,12,5,0.0551301684532925
edgeRLRT,GSE45719null,full-length,TPM_1_25p,6,1,0.0364168263895894
edgeRLRT,GSE45719null,full-length,TPM_1_25p,6,2,0.0535677983329945
edgeRLRT,GSE45719null,full-length,TPM_1_25p,6,3,0.0740666799760431
