method,dataset,dtype,filt,ncells_fact,repl,thr,TPR,FDR,AUROC,fracNA,fdrcontrol
MASTcpm,GSE45719sim123,full-length,,24,1,thr0.05,0.510935819290068,0.0518962075848303,0.9158041889061,0,in range
MASTcpmDetRate,GSE45719sim123,full-length,,24,1,thr0.05,0.517031193976336,0.0654569021386909,0.913054612856773,0,in range
MASTtpm,GSE45719sim123,full-length,,24,1,thr0.05,0.512011473646468,0.0678851174934726,0.915474802413584,0,in range
MASTtpmDetRate,GSE45719sim123,full-length,,24,1,thr0.05,0.521333811401936,0.0750636132315522,0.913002206160376,0,in range
metagenomeSeq,GSE45719sim123,full-length,,24,1,thr0.05,0.182861240588024,0.0538033395176252,0.598799327802984,0.188726026398308,in range
monocle,GSE45719sim123,full-length,,24,1,thr0.05,0.27249910362137,0.287054409005629,0.543918674412418,0,high FDP
monoclecensus,GSE45719sim123,full-length,,24,1,thr0.05,0.311939763356042,0.115853658536585,0.702814795535369,0,in range
monoclecount,GSE45719sim123,full-length,,24,1,thr0.05,0.72857655073503,0.440374552464886,0.93104904365929,0,high FDP
NODES,GSE45719sim123,full-length,,24,1,thr0.05,0.432413051272858,0.161917998610146,0.867970926377353,0.0536716983883906,high FDP
ROTScpm,GSE45719sim123,full-length,,24,1,thr0.05,0.215847974184295,0.0414012738853503,0.733698428467108,0,low FDP
ROTStpm,GSE45719sim123,full-length,,24,1,thr0.05,0.190749372534959,0.046594982078853,0.745294301439039,0,in range
ROTSvoom,GSE45719sim123,full-length,,24,1,thr0.05,0.467551093581929,0.0411764705882353,0.896792695627132,0,low FDP
SAMseq,GSE45719sim123,full-length,,24,1,thr0.05,0.429544639655791,0.0522151898734177,0.849943997892788,0.0842631079997083,in range
scDD,GSE45719sim123,full-length,,24,1,thr0.05,0.257439942631768,0.0137362637362637,0.599340262126333,0.241632028002625,low FDP
SCDE,GSE45719sim123,full-length,,24,1,thr0.05,0.510577267837935,0.0279863481228669,0.917805248595407,0,low FDP
SeuratBimod,GSE45719sim123,full-length,,24,1,thr0.05,0.294012190749373,0.219790675547098,0.641339055564386,0.949573397506016,high FDP
SeuratBimodIsExpr2,GSE45719sim123,full-length,,24,1,thr0.05,0.113302258874148,0.0276923076923077,0.555013358322833,0.984758987821775,in range
SeuratBimodnofilt,GSE45719sim123,full-length,,24,1,thr0.05,0.713875941197562,0.63238552437223,0.865891685967956,0,high FDP
SeuratTobit,GSE45719sim123,full-length,,24,1,thr0.05,0.240229472929365,0.0373563218390805,0.566332651716404,0.380441916429665,in range
ttest,GSE45719sim123,full-length,,24,1,thr0.05,0.405163140910721,0.0182450043440487,0.911066265538837,0,low FDP
voomlimma,GSE45719sim123,full-length,,24,1,thr0.05,0.546790964503406,0.0970988750740083,0.899651458357859,0,in range
Wilcoxon,GSE45719sim123,full-length,,24,1,thr0.05,0.47400501972033,0.0279411764705882,0.895725009242483,0,low FDP
zinbwaveDESeq2,GSE45719sim123,full-length,,24,1,thr0.05,0.543564001434206,0.146396396396396,0.765148595105412,0.309560271275432,high FDP
zinbwaveedgeR,GSE45719sim123,full-length,,24,1,thr0.05,0.473287916816063,0.0584878744650499,0.887232162814755,0,low FDP
BPSC,GSE45719sim123,full-length,,24,2,thr0.05,0.506814921090387,0.232065217391304,0.659089583204516,0.0530441122858184,high FDP
D3E,GSE45719sim123,full-length,,24,2,thr0.05,0.436513629842181,0.0248397435897436,0.840092200657752,0.0017499088589136,low FDP
DESeq2,GSE45719sim123,full-length,,24,2,thr0.05,0.57819225251076,0.12486427795874,0.851677259387427,0.262158220925993,high FDP
DESeq2betapFALSE,GSE45719sim123,full-length,,24,2,thr0.05,0.593974175035868,0.141524105754277,0.865273179651403,0.241487422530077,high FDP
DESeq2census,GSE45719sim123,full-length,,24,2,thr0.05,0.231707317073171,0.0314842578710645,0.633167147235645,0.748487057965731,in range
DESeq2LRT,GSE45719sim123,full-length,,24,2,thr0.05,0.572812051649928,0.086906803887936,0.871672464468812,0.222311337951148,in range
DESeq2nofilt,GSE45719sim123,full-length,,24,2,thr0.05,0.60545193687231,0.0939345142243693,0.914414254302385,0,in range
DEsingle,GSE45719sim123,full-length,,24,2,thr0.05,0.533715925394548,0.0546378653113088,0.909101234993573,0,in range
edgeRLRT,GSE45719sim123,full-length,,24,2,thr0.05,0.700502152080344,0.117487573429733,0.949635574831879,0,high FDP
edgeRLRTcensus,GSE45719sim123,full-length,,24,2,thr0.05,0.33428981348637,0.0381836945304438,0.848343457653629,0,in range
edgeRLRTdeconv,GSE45719sim123,full-length,,24,2,thr0.05,0.703012912482066,0.117117117117117,0.949872016632554,0,high FDP
edgeRLRTrobust,GSE45719sim123,full-length,,24,2,thr0.05,0.675753228120517,0.240628778718259,0.911010105165074,0,high FDP
edgeRQLF,GSE45719sim123,full-length,,24,2,thr0.05,0.837876614060258,0.482269503546099,0.943035480418182,0,high FDP
edgeRQLFDetRate,GSE45719sim123,full-length,,24,2,thr0.05,0.824246771879483,0.469284064665127,0.939020773167599,0,high FDP
limmatrend,GSE45719sim123,full-length,,24,2,thr0.05,0.468436154949785,0.0311572700296736,0.912361596250561,0,low FDP
logregLRT,GSE45719sim123,full-length,,24,2,thr0.05,0.569583931133429,0.0581257413997628,0.918799853791517,0,in range
MASTcpm,GSE45719sim123,full-length,,24,2,thr0.05,0.522596843615495,0.050814332247557,0.919259899319227,0,in range
MASTcpmDetRate,GSE45719sim123,full-length,,24,2,thr0.05,0.527259684361549,0.0684410646387833,0.915549987150282,0,in range
MASTtpm,GSE45719sim123,full-length,,24,2,thr0.05,0.519010043041607,0.0530104712041885,0.919386140376679,0,in range
MASTtpmDetRate,GSE45719sim123,full-length,,24,2,thr0.05,0.521520803443329,0.0738853503184713,0.915499639194819,0,in range
metagenomeSeq,GSE45719sim123,full-length,,24,2,thr0.05,0.188307030129125,0.0625,0.598689823640384,0.19008384979949,in range
monocle,GSE45719sim123,full-length,,24,2,thr0.05,0.279770444763271,0.257849666983825,0.545419110412906,0,high FDP
monoclecensus,GSE45719sim123,full-length,,24,2,thr0.05,0.313486370157819,0.111788617886179,0.700115743530571,0,in range
monoclecount,GSE45719sim123,full-length,,24,2,thr0.05,0.750358680057389,0.449618521441726,0.932409034242665,0,high FDP
NODES,GSE45719sim123,full-length,,24,2,thr0.05,0.440100430416069,0.139551192145863,0.872086346787285,0.0580021873860736,high FDP
ROTScpm,GSE45719sim123,full-length,,24,2,thr0.05,0.217718794835007,0.0395569620253165,0.734639419558377,0,low FDP
ROTStpm,GSE45719sim123,full-length,,24,2,thr0.05,0.187589670014347,0.0627240143369176,0.744142279566782,0,in range
ROTSvoom,GSE45719sim123,full-length,,24,2,thr0.05,0.479196556671449,0.04091888011486,0.898318475810333,0,low FDP
