method,dataset,dtype,filt,ncells,repl,charac,snr
monocle,GSE45719null,full-length,,12,1,log2(average CPM),0.0933069677920226
metagenomeSeq,GSE45719null,full-length,,12,1,log2(average CPM),0.215925511398732
monoclecount,GSE45719null,full-length,,12,1,log2(average CPM),-0.122794088578205
DESeq2betapFALSE,GSE45719null,full-length,,12,1,log2(average CPM),0.341421793591727
DEsingle,GSE45719null,full-length,,12,1,log2(average CPM),0.387200812967495
zinbwaveDESeq2,GSE45719null,full-length,,12,1,log2(average CPM),0.325951165413821
DESeq2LRT,GSE45719null,full-length,,12,1,log2(average CPM),0.392503592785952
BPSC,GSE45719null,full-length,,12,1,log2(average CPM),0.310185777118588
MASTcpmDetRate,GSE45719null,full-length,,12,1,log2(average CPM),0.108690433865974
edgeRLRT,GSE45719null,full-length,,12,1,log2(variance(CPM)),0.418416966069566
NODES,GSE45719null,full-length,,12,1,log2(variance(CPM)),0.821721313124642
DESeq2,GSE45719null,full-length,,12,1,log2(variance(CPM)),0.448762868772231
DESeq2nofilt,GSE45719null,full-length,,12,1,log2(variance(CPM)),0.448174872961155
edgeRLRTdeconv,GSE45719null,full-length,,12,1,log2(variance(CPM)),0.411513392911796
SCDE,GSE45719null,full-length,,12,1,log2(variance(CPM)),0.552199973017269
edgeRLRTrobust,GSE45719null,full-length,,12,1,log2(variance(CPM)),0.33687400543138
SeuratBimod,GSE45719null,full-length,,12,1,log2(variance(CPM)),1.07866683701789
SeuratBimodnofilt,GSE45719null,full-length,,12,1,log2(variance(CPM)),0.0909448041314126
SeuratTobit,GSE45719null,full-length,,12,1,log2(variance(CPM)),0.0467855827068778
monocle,GSE45719null,full-length,,12,1,log2(variance(CPM)),0.148663459743339
metagenomeSeq,GSE45719null,full-length,,12,1,log2(variance(CPM)),0.320978634882498
monoclecount,GSE45719null,full-length,,12,1,log2(variance(CPM)),0.0693474749897597
DESeq2betapFALSE,GSE45719null,full-length,,12,1,log2(variance(CPM)),0.450904279827982
DEsingle,GSE45719null,full-length,,12,1,log2(variance(CPM)),0.487197144454114
zinbwaveDESeq2,GSE45719null,full-length,,12,1,log2(variance(CPM)),0.444595300889381
DESeq2LRT,GSE45719null,full-length,,12,1,log2(variance(CPM)),0.464443987577158
BPSC,GSE45719null,full-length,,12,1,log2(variance(CPM)),0.424825107034387
MASTcpmDetRate,GSE45719null,full-length,,12,1,log2(variance(CPM)),0.26801000209661
edgeRLRT,GSE45719null,full-length,,12,1,CV(CPM),0.196618045740274
NODES,GSE45719null,full-length,,12,1,CV(CPM),-0.926481160837195
DESeq2,GSE45719null,full-length,,12,1,CV(CPM),0.0342844411290858
DESeq2nofilt,GSE45719null,full-length,,12,1,CV(CPM),0.295393709003842
edgeRLRTdeconv,GSE45719null,full-length,,12,1,CV(CPM),0.201675082328156
SCDE,GSE45719null,full-length,,12,1,CV(CPM),-0.0950576102742808
edgeRLRTrobust,GSE45719null,full-length,,12,1,CV(CPM),0.017156332709283
SeuratBimod,GSE45719null,full-length,,12,1,CV(CPM),-0.0176720444223587
SeuratBimodnofilt,GSE45719null,full-length,,12,1,CV(CPM),0.196214888056131
SeuratTobit,GSE45719null,full-length,,12,1,CV(CPM),-0.244730034794168
monocle,GSE45719null,full-length,,12,1,CV(CPM),0.0363817203016145
metagenomeSeq,GSE45719null,full-length,,12,1,CV(CPM),0.153744976306053
monoclecount,GSE45719null,full-length,,12,1,CV(CPM),0.976038638871101
DESeq2betapFALSE,GSE45719null,full-length,,12,1,CV(CPM),0.110083617569285
DEsingle,GSE45719null,full-length,,12,1,CV(CPM),0.0688684080773919
